TimeStep,Whales,Seals,Cod,Whiting,Mackerel,Anchovy,Shrimp,Benthos,Zooplankton,Phytoplankton,Detritus
149,0.09954123,0.06923615,3.353729,1.548861,0.7503574,5.773343,0.8264983,24.47312,18.00948,5.993317,13.2469
150,0.09959419,0.06928198,3.345793,1.547062,0.7570111,5.998132,0.8193467,25.92831,13.74777,3.42891,9.76792
151,0.0996448,0.06933708,3.337865,1.546358,0.7592387,6.093458,0.8150575,26.06298,7.994794,6.591489,6.564924
152,0.09970565,0.06941923,3.332627,1.547311,0.7555779,5.958664,0.8176472,24.71387,6.812369,13.38859,6.013429
153,0.09977455,0.06951354,3.329449,1.548591,0.7497247,5.721927,0.8233972,23.03786,10.60618,18.37172,8.481352
154,0.09985327,0.06960528,3.32757,1.549598,0.7476714,5.564616,0.8289141,22.31462,17.79746,13.11821,12.41599
155,0.09992667,0.06968232,3.324615,1.549174,0.7533891,5.668096,0.830015,23.07497,16.77827,17.39927,12.04946
156,0.09998745,0.06972671,3.318546,1.54765,0.7588554,5.821841,0.8242599,24.48071,16.85835,4.600936,13.17749
157,0.1000381,0.06975696,3.309664,1.545591,0.7638869,5.998775,0.8155676,25.79199,11.98839,4.307484,8.847775
158,0.1000906,0.06980461,3.301739,1.544928,0.7641727,6.016795,0.8117689,25.57342,7.601884,8.290521,6.347215
159,0.1001542,0.0698803,3.296704,1.545675,0.7597549,5.843744,0.8150585,24.10383,7.775267,15.804,6.603379
160,0.1002249,0.06996166,3.293038,1.546364,0.7546467,5.625585,0.8198817,22.73255,12.58081,16.83588,9.812716
161,0.1003011,0.07003786,3.290044,1.546465,0.754483,5.54185,0.8237557,22.48496,19.07639,12.3307,12.767
162,0.1003692,0.07009401,3.285543,1.545237,0.7614182,5.710046,0.8231048,23.5098,16.99946,14.57508,12.09214
163,0.1004251,0.07012755,3.278163,1.543142,0.7670078,5.888467,0.8166624,24.88144,16.42923,4.409529,12.38685
164,0.1004729,0.07015217,3.269253,1.541189,0.7713854,6.052482,0.8089662,25.91511,11.37115,4.397525,8.442552
165,0.1005268,0.07019805,3.262038,1.541019,0.7710085,6.03864,0.8071098,25.44795,7.352307,8.629245,6.190444
166,0.100592,0.07027674,3.25818,1.542066,0.7661501,5.844653,0.8131737,23.80627,7.515793,17.36035,6.541742
167,0.100663,0.0703593,3.255592,1.542873,0.7605076,5.609927,0.820065,22.40626,12.48613,16.56679,10.12451
168,0.1007389,0.0704337,3.253386,1.543008,0.760045,5.519669,0.8250135,22.2364,17.73384,16.41065,12.37697
169,0.100806,0.07048647,3.248693,1.541586,0.7655565,5.643633,0.8247948,23.34059,17.21685,13.13151,13.01599
170,0.100861,0.07051848,3.240972,1.539375,0.7711008,5.815997,0.8191672,24.9132,17.61755,4.319428,12.53287
171,0.1009079,0.07054558,3.232015,1.537307,0.7767045,6.013567,0.8131594,26.05152,11.89233,4.589919,8.621723
172,0.1009601,0.07059423,3.224783,1.536973,0.7770147,6.026431,0.8129749,25.66531,7.723227,8.931651,6.439178
